,tconst,merge_id,release_date,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross
196,tt1692486,2011 Carnage,2011,"Comedy,Drama",7.2,111372,25000000.0,2546747.0,38112154.0
197,tt1216475,2011 Cars 2,2011,"Adventure,Animation,Comedy",6.2,138914,200000000.0,191450875.0,560155383.0
198,tt1477837,2011 Cedar Rapids,2011,Comedy,6.3,34759,10000000.0,6861102.0,7862131.0
199,tt1684628,2011 Circumstance,2011,Drama,5.9,7055,900000.0,454121.0,958978.0
200,tt1657507,2011 Colombiana,2011,"Action,Drama,Thriller",6.4,87659,40000000.0,36665854.0,72295262.0
201,tt0816462,2011 Conan the Barbarian,2011,"Action,Adventure,Fantasy",5.2,90834,90000000.0,21295021.0,63356133.0
202,tt1598778,2011 Contagion,2011,"Action,Drama,Thriller",6.6,201536,60000000.0,75658097.0,137551594.0
203,tt1630036,2011 Courageous,2011,Drama,7.0,17586,2000000.0,34522221.0,35185884.0
204,tt1686018,2011 Creature,2011,Horror,3.7,2723,3000000.0,331000.0,331000.0
205,tt1650043,2011 Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy,Family",6.6,23135,18000000.0,52698535.0,73695194.0
206,tt1564349,2011 Dolphin Tale,2011,"Drama,Family",6.9,20746,37000000.0,72286779.0,96068724.0
207,tt1462041,2011 Dream House,2011,"Drama,Mystery,Thriller",6.0,59714,50000000.0,21302340.0,41642166.0
208,tt0780504,2011 Drive,2011,"Crime,Drama",7.8,521495,15000000.0,35060689.0,81357930.0
209,tt1502404,2011 Drive Angry,2011,"Action,Fantasy,Thriller",5.4,90203,50000000.0,10721033.0,41042583.0
210,tt1618430,2011 Dum Maaro Dum,2011,"Action,Crime,Drama",6.2,3616,5200000.0,564489.0,11633427.0
211,tt1596343,2011 Fast Five,2011,"Action,Crime,Thriller",7.3,329892,125000000.0,210031325.0,630163454.0
212,tt1622979,2011 Final Destination 5,2011,Horror,5.9,98061,40000000.0,42587643.0,155011165.0
213,tt1068242,2011 Footloose,2011,"Comedy,Drama,Music",5.9,43251,24000000.0,51802742.0,62989834.0
214,tt1632708,2011 Friends with Benefits,2011,"Comedy,Romance",6.6,317338,35000000.0,55802754.0,146595891.0
215,tt1438176,2011 Fright Night,2011,"Comedy,Horror",6.4,94555,30000000.0,18298649.0,40520649.0
216,tt1922612,2011 Glee: The 3D Concert Movie,2011,"Documentary,Music",5.4,5449,9000000.0,11862398.0,17462398.0
217,tt1703199,2011 Grave Encounters,2011,Horror,6.1,48125,2000000.0,0.0,2151887.0
218,tt1133985,2011 Green Lantern,2011,"Action,Adventure,Sci-Fi",5.5,252281,200000000.0,116601172.0,219535492.0
219,tt0480687,2011 Hall Pass,2011,"Comedy,Romance",5.9,113775,68000000.0,45060734.0,87173475.0
220,tt0993842,2011 Hanna,2011,"Action,Drama,Thriller",6.8,179178,30000000.0,40259119.0,65343694.0
221,tt1402488,2011 Happy Feet Two,2011,"Adventure,Animation,Comedy",5.9,38396,135000000.0,64006466.0,157956466.0
222,tt1562568,2011 Higher Ground,2011,Drama,6.3,2869,1800000.0,841056.0,842693.0
223,tt1640459,2011 Hobo with a Shotgun,2011,"Action,Comedy,Horror",6.1,41633,3000000.0,703372.0,834953.0
224,tt1411704,2011 Hop,2011,"Adventure,Animation,Comedy",5.4,28893,63000000.0,108085305.0,188657593.0
225,tt1499658,2011 Horrible Bosses,2011,"Comedy,Crime",6.9,398695,35000000.0,117538559.0,212417601.0
226,tt0970179,2011 Hugo,2011,"Adventure,Drama,Family",7.5,284869,180000000.0,73864507.0,180047784.0
